Timestamp,Tweets_per_second,EMA,Growth,Threshold
1402609678,6,7.185568578,0.06151871269,1.5
1402609679,8,7.333647019,0.1374442825,1.5
1402609680,7,7.272983924,0.1107291357,1.5
1402609681,2,6.314259574,-0.162478495,1.5
1402609682,4,5.893485106,-0.2785066139,1.5
1402609683,9,6.458305996,-0.2714907584,1.5
1402609684,13,7.647704906,-0.1217416355,1.5
1402609685,4,6.984485832,-0.1498382696,1.5
1402609686,10,7.532761135,0.011240778,1.5
1402609687,8,7.617713656,0.06014069356,1.5
1402609688,6,7.323583901,-0.001372184679,1.5
1402609689,7,7.264750464,-0.001132060834,1.5
1402609690,5,6.852977652,0.08531769586,1.5
1402609691,10,7.425163534,0.2598934925,1.5
1402609692,10,7.893315619,0.2221959788,1.5
1402609693,7,7.730894597,0.01087773288,1.5
1402609694,16,9.234368307,0.3221257124,1.5
1402609695,1,7.737210433,0.02714134879,1.5
1402609696,10,8.148626718,0.06969454162,1.5
1402609697,6,7.757967314,0.05931295658,1.5
1402609698,6,7.438336894,0.02389434165,1.5
1402609699,8,7.540457458,0.1003184077,1.5
1402609700,10,7.987647011,0.07575368207,1.5
1402609701,11,8.535347555,0.08133868798,1.5
1402609702,11,8.983466181,0.1620215576,1.5
1402609703,7,8.622835966,-0.06622351631,1.5
1402609704,9,8.691411245,0.1233262066,1.5
1402609705,11,9.111154655,0.118121491,1.5
1402609706,7,8.727308354,0.1249478118,1.5
1402609707,16,10.04961593,0.3510568384,1.5
1402609708,5,9.13150394,0.2110013205,1.5
1402609709,5,8.380321405,0.04916020865,1.5
1402609710,20,10.49299024,0.2293571144,1.5
1402609711,5,9.494264742,0.0568598524,1.5
1402609712,6,8.85894388,0.0273817007,1.5
1402609713,12,9.430044993,0.0849843284,1.5
1402609714,13,10.07912772,0.1062404385,1.5
1402609715,15,10.97383177,0.2574130908,1.5
1402609716,13,11.342226,0.1286228328,1.5
1402609717,10,11.09818491,0.2153731717,1.5
1402609718,6,10.1712422,0.2137055017,1.5
1402609719,11,10.32192543,-0.01630277016,1.5
1402609720,8,9.899757172,0.04270919768,1.5
1402609721,15,10.82707405,0.22216307,1.5
1402609722,10,10.67669695,0.132200001,1.5
1402609723,8,10.19002478,0.01100264416,1.5
1402609724,12,10.51911118,-0.04143681078,1.5
1402609725,18,11.87927278,0.04734932893,1.5
1402609726,7,10.99213228,-0.0095558533,1.5
1402609727,9,10.62992641,0.04509618448,1.5
1402609728,12,10.8790307,0.05397299854,1.5
1402609729,9,10.53738875,0.06440881028,1.5
1402609730,7,9.894227162,-0.08615872428,1.5
1402609731,6,9.18618586,-0.1396041395,1.5
1402609732,6,8.60687934,-0.1553622756,1.5
1402609733,7,8.31471946,-0.2095606448,1.5
1402609734,12,8.984770467,-0.2436598915,1.5
1402609735,9,8.987539473,-0.1823661465,1.5
1402609736,12,9.535259569,-0.1029797196,1.5
1402609737,10,9.619757829,-0.1157523041,1.5
1402609738,9,9.507074587,-0.09777699107,1.5
1402609739,8,9.233061026,-0.06682342391,1.5
1402609740,4,8.281595385,-0.09847291233,1.5
1402609741,9,8.412214406,-0.02261736528,1.5
1402609742,17,9.973629968,0.1995149105,1.5
1402609743,11,10.1602427,0.1308294117,1.5
1402609744,8,9.767471301,0.08677923812,1.5
1402609745,7,9.264294701,-0.02841714648,1.5
1402609746,5,8.488968392,-0.1175486387,1.5
1402609747,7,8.218246866,-0.1355651215,1.5
1402609748,9,8.360383799,-0.09451656652,1.5
1402609749,7,8.11304129,-0.02035285313,1.5
1402609750,11,8.637942874,0.02683341831,1.5
1402609751,12,9.249225988,-0.07263192869,1.5
1402609752,15,10.29482126,0.01324560498,1.5
1402609753,11,10.42303558,0.06711709277,1.5
1402609754,10,10.34612002,0.1167736296,1.5
1402609755,9,10.10137092,0.1899409278,1.5
1402609756,5,9.173848938,0.1162780929,1.5
1402609757,9,9.14224004,0.09351918043,1.5
1402609758,6,8.570923669,0.05643782185,1.5
1402609759,8,8.467119366,-0.01977594788,1.5
1402609760,10,8.745824936,-0.05442628959,1.5
1402609761,10,8.973856766,-0.1283134951,1.5
1402609762,8,8.796791899,-0.1560239977,1.5
1402609763,12,9.379193372,-0.09345789969,1.5
1402609764,11,9.673885486,-0.04231954668,1.5
1402609766,8,9.369542671,0.02133169334,1.5
1402609767,6,8.756898549,-0.04214957057,1.5
1402609768,10,8.982916994,0.0480687194,1.5
1402609769,8,8.804204814,0.03981111321,1.5
1402609770,10,9.02162212,0.03153472502,1.5
1402609771,10,9.199509007,0.0251455141,1.5
1402609772,9,9.163234642,0.04165640696,1.5
1402609773,13,9.860828344,0.05135142786,1.5
